ST	penA	mtrR	porB	ponA	gyrA	parC	23S
655	23	86	3	100	100	2	100
656	494	57	3	100	100	7	100
657	294	87	13	1	7	15	100
658	17	54	14	100	100	1	100
659	22	161	14	100	100	1	100
660	18	88	100	100	100	100	100
661	22	161	100	100	100	1	100
662	22	89	100	100	100	1	100
663	18	54	100	100	100	1	100
664	19	90	100	100	100	2	100
665	19	160	14	100	100	1	100
666	20	22	30	1	100	1	100
667	166	91	8	100	100	7	100
668	294	92	100	1	1	22	100
669	20	93	3	100	100	2	100
672	23	94	4	1	100	1	100
673	20	19	6	1	17	2	100
674	290	69	11	1	1	3	100
676	285	58	3	1	100	2	100
677	285	58	100	1	100	2	100
678	285	58	13	100	100	7	100
679	294	69	1	100	100	7	100
681	20	104	100	100	100	7	100
682	23	54	14	1	1	22	100
683	20	54	100	100	100	2	100
684	228	38	1	1	7	26	100
685	665	57	3	100	6	1	100
686	20	25	35	100	100	1	100
687	285	105	100	1	100	2	100
688	20	104	3	100	100	7	100
689	285	25	35	1	100	2	100
690	23	106	100	100	100	2	100
691	166	107	100	100	100	100	100
692	228	108	1	1	100	7	100
693	288	109	3	1	1	3	100
694	285	105	14	1	100	7	100
695	20	104	3	100	100	7	2
696	288	110	8	1	1	3	100
697	290	1	1	1	1	3	100
698	166	25	3	100	100	7	16
699	285	111	8	1	100	2	100
700	21	112	8	1	1	3	100
701	287	36	12	1	2	24	2
702	285	113	4	1	100	2	100
705	285	58	1	1	100	2	100
706	21	1	23	1	1	3	100
707	23	114	8	100	1	18	100
708	23	54	4	100	1	22	100
709	266	1	11	1	1	3	17
710	14	33	37	1	2	5	100
713	17	129	100	100	100	1	100
714	23	89	13	100	7	4	100
715	228	124	100	100	1	20	100
716	23	134	100	100	100	2	100
717	166	135	1	100	100	100	100
718	291	54	14	100	1	22	100
719	23	89	100	100	7	4	100
720	266	64	11	1	1	3	100
721	21	74	8	1	2	49	100
722	17	137	100	100	100	1	100
723	17	138	100	100	100	54	100
724	23	139	100	100	100	2	100
725	17	136	100	100	100	1	100
726	294	58	1	100	7	20	100
727	645	16	10	1	1	45	2
728	23	141	14	1	1	18	100
729	22	142	100	100	100	2	100
730	17	143	100	100	100	1	100
731	20	25	43	100	100	2	100
732	228	124	3	100	1	20	100
733	166	145	1	1	100	1	100
734	23	69	4	1	7	20	100
735	17	54	3	100	100	2	100
736	20	15	100	100	100	57	100
737	1323	146	14	100	100	2	100
738	22	88	100	100	100	2	100
